iter	Passed	Remaining
867	7213	1097
868	7221	1088
869	7230	1080
870	7238	1072
871	7245	1063
872	7252	1055
873	7260	1046
874	7269	1038
875	7277	1030
876	7285	1021
877	7293	1013
878	7302	1005
879	7309	996
880	7318	988
881	7325	980
882	7332	971
883	7340	963
884	7347	954
885	7355	946
886	7364	938
887	7372	929
888	7379	921
889	7387	913
890	7395	904
891	7404	896
892	7411	888
893	7419	879
894	7428	871
895	7436	863
896	7443	854
897	7450	846
898	7458	837
899	7466	829
900	7474	821
901	7482	812
902	7491	804
903	7500	796
904	7509	788
905	7517	779
906	7547	773
907	7561	766
908	7568	757
909	7575	749
910	7583	740
911	7591	732
912	7600	724
913	7607	715
914	7614	707
915	7622	699
916	7630	690
917	7639	682
918	7647	674
919	7655	665
920	7663	657
921	7670	648
922	7679	640
923	7687	632
924	7696	624
925	7703	615
926	7711	607
927	7718	598
928	7727	590
929	7733	582
930	7741	573
931	7749	565
932	7757	557
933	7765	548
934	7772	540
935	7779	531
936	7788	523
937	7796	515
938	7804	507
939	7813	498
940	7818	490
941	7826	481
942	7834	473
943	7842	465
944	7851	456
945	7859	448
946	7867	440
947	7876	432
948	7884	423
949	7890	415
950	7897	406
951	7905	398
952	7913	390
953	7921	381
954	7930	373
955	7939	365
956	7946	357
957	7954	348
958	7962	340
959	7971	332
960	7980	323
961	7988	315
962	7996	307
963	8005	298
964	8012	290
965	8021	282
966	8029	274
967	8036	265
968	8045	257
969	8053	249
970	8061	240
971	8069	232
972	8077	224
973	8085	215
974	8093	207
975	8100	199
976	8108	190
977	8116	182
978	8125	174
979	8134	166
980	8141	157
981	8149	149
982	8157	141
983	8165	132
984	8173	124
985	8182	116
986	8189	107
987	8197	99
988	8205	91
989	8212	82
990	8219	74
991	8226	66
992	8234	58
993	8242	49
994	8250	41
995	8258	33
996	8267	24
997	8274	16
998	8281	8
999	8289	0
